Day,StartTime,EndTime,Course,Group,Room
SATURDAY,11:00,11:50,Theory of Computation,CSE 3.4,A308
WEDNESDAY,17:00,17:50,Theory of Computation,CSE 3.4,C301
SATURDAY,13:00,13:50,Theory of Computation,CSE 3.4,C308
SATURDAY,09:00,09:50,Theory of Computation,CSE 3.4,A204
