Day,StartTime,EndTime,Course,Group,Room
TUESDAY,13:50,15:30,Python Programming for Machine Learning,AERO 2.1,DSP Lab
MONDAY,13:50,15:30,Python Programming for Machine Learning,AERO 2.1,DSP Lab
THURSDAY,11:50,13:30,Python Programming for Machine Learning,AERO 2.1,DSP Lab
MONDAY,11:50,13:30,Python Programming for Machine Learning,AERO 2.1,DSP Lab
FRIDAY,12:00,12:50,Computational Fluid Dynamics,AERO 4.1,A110
TUESDAY,16:00,16:50,Computational Fluid Dynamics,AERO 4.1,A305
WEDNESDAY,11:00,11:50,Computational Fluid Dynamics,AERO 4.1,B417
FRIDAY,13:50,15:30,Structural And Flow Simulation Laboratory,AERO 4.1,Mechatronics Lab
MONDAY,17:30,19:10,Structural And Flow Simulation Laboratory,AERO 4.1,Industrial Automation Lab
WEDNESDAY,11:50,13:30,Structural And Flow Simulation Laboratory,AERO 4.1,VLSI Lab
TUESDAY,09:50,11:30,Structural And Flow Simulation Laboratory,AERO 4.1,Power Electronics Lab
