Day,StartTime,EndTime,Course,Group,Room
THURSDAY,12:00,12:50,Electric and Hybrid Vehicles - II,AUTO 3.1,B425
THURSDAY,08:00,08:50,Electric and Hybrid Vehicles - II,AUTO 3.1,A302
FRIDAY,15:00,15:50,Electric and Hybrid Vehicles - II,AUTO 3.1,C101
MONDAY,17:30,19:10,Electric and Hybrid Vehicles - II,AUTO 3.1,Auto CAD Lab
FRIDAY,17:30,19:10,AI and ML for Automobile  Engineers,AUTO 4.1,KFL03
MONDAY,13:50,15:30,AI and ML for Automobile  Engineers,AUTO 4.1,JR3
FRIDAY,11:50,13:30,AI and ML for Automobile  Engineers,AUTO 4.1,TLFL5
