Day,StartTime,EndTime,Course,Teacher,Room
MONDAY,13:00,14:00,Computer Architecture,Mr. Dr V.Murali Bhaskaran,room_number
TUESDAY,13:00,14:00,Computer Architecture,Mr. Dr V.Murali Bhaskaran,room_number
WEDNESDAY,13:00,14:00,Computer Architecture,Mr. Dr V.Murali Bhaskaran,room_number
