Day,StartTime,EndTime,Course,Teacher,Room
FRIDAY,08:00,08:50,Theory of Computation,Mrs. J.A.Adlin Layola,B219
MONDAY,11:00,11:50,Theory of Computation,Mrs. J.A.Adlin Layola,A110
WEDNESDAY,13:00,13:50,Theory of Computation,Mrs. J.A.Adlin Layola,A310
MONDAY,15:00,15:50,Theory of Computation,Mrs. J.A.Adlin Layola,B405
TUESDAY,11:00,11:50,Fundamentals of Mobile Computing,Mrs. Jananee V,B411
WEDNESDAY,09:00,09:50,Fundamentals of Mobile Computing,Mrs. Jananee V,A204
THURSDAY,18:00,18:50,Fundamentals of Mobile Computing,Mrs. Jananee V,B405
WEDNESDAY,11:00,11:50,Web Programming,New Staff - 09,B422
TUESDAY,09:00,09:50,Web Programming,New Staff - 09,B415
MONDAY,16:00,16:50,Web Programming,New Staff - 09,A304
MONDAY,08:00,09:40,Web Programming,New Staff - 09,TLGL4
THURSDAY,13:50,15:30,Web Programming,New Staff - 09,JL2
WEDNESDAY,13:50,15:30,Web Programming,New Staff - 09,TLGL1
TUESDAY,11:50,13:30,Web Programming,New Staff - 09,TLFR2
MONDAY,14:00,14:50,Computer Networks,New Staff - 09,A202
FRIDAY,09:00,09:50,Computer Networks,New Staff - 09,A309
FRIDAY,17:00,17:50,Computer Networks,New Staff - 09,B402
THURSDAY,08:00,09:40,Computer Networks,New Staff - 09,TLFL3
THURSDAY,11:50,13:30,Computer Networks,New Staff - 09,KFR01
TUESDAY,13:50,15:30,Computer Networks,New Staff - 09,TLFL3
FRIDAY,13:50,15:30,Computer Networks,New Staff - 09,JR3
MONDAY,10:00,10:50,Foundations of Artificial Intelligence,Ms. Divya M,A202
TUESDAY,08:00,08:50,Foundations of Artificial Intelligence,Ms. Divya M,A103
FRIDAY,10:00,10:50,Foundations of Artificial Intelligence,Ms. Divya M,B411
THURSDAY,09:50,11:30,Foundations of Artificial Intelligence,Ms. Divya M,JR2
MONDAY,11:50,13:30,Foundations of Artificial Intelligence,Ms. Divya M,TLSL2
