Day,StartTime,EndTime,Course,Teacher,Room
MONDAY,11:50,13:30,Bioinformatics Laboratory,Mrs. S.R.Saranya Arunkumar,Avionics Lab
FRIDAY,08:00,09:40,Bioinformatics Laboratory,Mrs. S.R.Saranya Arunkumar,Industrial Automation Lab
TUESDAY,08:00,09:40,Bioinformatics Laboratory,Mrs. S.R.Saranya Arunkumar,Medical Image Processing Lab
WEDNESDAY,13:50,15:30,Bioinformatics Laboratory,Mrs. S.R.Saranya Arunkumar,Chemical Reaction Engineering Lab
WEDNESDAY,11:00,11:50,DOWNSTREAM PROCESSING,Mrs. Sangeetha Gandhi S,A302
FRIDAY,11:00,11:50,DOWNSTREAM PROCESSING,Mrs. Sangeetha Gandhi S,B409
THURSDAY,12:00,12:50,DOWNSTREAM PROCESSING,Mrs. Sangeetha Gandhi S,B411
WEDNESDAY,16:00,16:50,Bioinformatics,Dr. Shanthi M,B418
THURSDAY,13:00,13:50,Bioinformatics,Dr. Shanthi M,B321
TUESDAY,11:00,11:50,Bioinformatics,Dr. Shanthi M,B424
WEDNESDAY,10:00,10:50,Animal Biotechnology,Mrs. Dr.M.Millicent Mabel,B402
MONDAY,11:00,11:50,Animal Biotechnology,Mrs. Dr.M.Millicent Mabel,C202
WEDNESDAY,12:00,12:50,Animal Biotechnology,Mrs. Dr.M.Millicent Mabel,C201
THURSDAY,17:00,17:50,PROTEIN ENGINEERING TECHNIQUES,Mrs. Dr Rekha Ravindran,B405
FRIDAY,13:00,13:50,PROTEIN ENGINEERING TECHNIQUES,Mrs. Dr Rekha Ravindran,C308
THURSDAY,09:00,09:50,PROTEIN ENGINEERING TECHNIQUES,Mrs. Dr Rekha Ravindran,B425
MONDAY,10:00,10:50,Comprehensive Course for Biotechnologists,Mrs. Dr. G. Carlin Geor Malar,B221
TUESDAY,10:00,10:50,Comprehensive Course for Biotechnologists,Mrs. Dr. G. Carlin Geor Malar,B322
THURSDAY,18:00,18:50,Comprehensive Course for Biotechnologists,Mrs. Dr. G. Carlin Geor Malar,B218
FRIDAY,13:50,15:30,Downstream processing lab,Mrs. Sangeetha Gandhi S,Downstream Processing Lab
WEDNESDAY,08:00,09:40,Downstream processing lab,Mrs. Sangeetha Gandhi S,Downstream Processing Lab
THURSDAY,09:50,11:30,Downstream processing lab,Mrs. Sangeetha Gandhi S,Downstream Processing Lab
MONDAY,13:50,15:30,Downstream processing lab,Mrs. Sangeetha Gandhi S,Downstream Processing Lab
THURSDAY,08:00,08:50,Cancer Biology,Mrs. Dr.B.Vijaya Geetha,A211
TUESDAY,18:00,18:50,Cancer Biology,Mrs. Dr.B.Vijaya Geetha,B404
THURSDAY,14:00,14:50,Cancer Biology,Mrs. Dr.B.Vijaya Geetha,A305
FRIDAY,15:50,17:30,Artificial Intelligence and Machine Learning for Biotechnologist,Mr. A. Arun,Industrial Automation Lab
WEDNESDAY,13:50,15:30,Artificial Intelligence and Machine Learning for Biotechnologist,Mr. A. Arun,Food Processing and Preservation Lab
FRIDAY,13:50,15:30,Artificial Intelligence and Machine Learning for Biotechnologist,Mr. A. Arun,Engineering Practices Lab (Electrical)
WEDNESDAY,08:00,09:40,Artificial Intelligence and Machine Learning for Biotechnologist,Mr. A. Arun,Metrology & Measurement Lab
