Day,StartTime,EndTime,Course,Teacher,Room
TUESDAY,08:00,08:50,Social and Ethical Issues in AI,New Faculty New  Staff - 30,C301
TUESDAY,10:00,10:50,Big Data Technology,Mrs. Sangeetha K,A203
TUESDAY,16:00,16:50,Big Data Technology,Mrs. Sangeetha K,A308
FRIDAY,18:00,18:50,Big Data Technology,Mrs. Sangeetha K,A205
THURSDAY,17:30,19:10,Big Data Technology,Mrs. Sangeetha K,JL3
SATURDAY,09:50,11:30,Big Data Technology,Mrs. Sangeetha K,JL2
FRIDAY,10:00,10:50,Information Retrieval (Professional Elective V),Mr. Magesh M P,B325
WEDNESDAY,13:00,13:50,Information Retrieval (Professional Elective V),Mr. Magesh M P,B411
FRIDAY,13:50,15:30,Information Retrieval (Professional Elective V),Mr. Magesh M P,KFL03
SATURDAY,11:50,13:30,Information Retrieval (Professional Elective V),Mr. Magesh M P,TLFR5
THURSDAY,14:00,14:50,Supply Chain Analytics (Professional Elective V),Dr. Raju K,A208
SATURDAY,15:00,15:50,Supply Chain Analytics (Professional Elective V),Dr. Raju K,C308
FRIDAY,16:00,16:50,Supply Chain Analytics (Professional Elective V),Dr. Raju K,B221
TUESDAY,13:00,13:50,Data Visualization using Python (Professional Elective III),Mr. Vijay K,A309
WEDNESDAY,14:00,14:50,Data Visualization using Python (Professional Elective III),Mr. Vijay K,B218
SATURDAY,09:50,11:30,Data Visualization using Python (Professional Elective III),Mr. Vijay K,TLFR2
THURSDAY,17:30,19:10,Data Visualization using Python (Professional Elective III),Mr. Vijay K,JR1
FRIDAY,11:00,11:50,Secure Systems Engineering,Ms. R.Anitha,B403
THURSDAY,13:00,13:50,Secure Systems Engineering,Ms. R.Anitha,B220
SATURDAY,17:00,17:50,Secure Systems Engineering,Ms. R.Anitha,B325
