Day,StartTime,EndTime,Course,Teacher,Room
THURSDAY,09:00,09:50,Theory of Computation,Mr. Dr.K.Ananthajothi,B418
TUESDAY,09:00,09:50,Theory of Computation,Mr. Dr.K.Ananthajothi,B107
SATURDAY,08:00,08:50,Theory of Computation,Mr. Dr.K.Ananthajothi,A109
THURSDAY,10:00,10:50,Theory of Computation,Mr. Dr.K.Ananthajothi,A202
TUESDAY,08:00,08:50,Fundamentals of Mobile Computing,Dr. Chettiyar Vani Vivekanand,C302
SATURDAY,14:00,14:50,Fundamentals of Mobile Computing,Dr. Chettiyar Vani Vivekanand,B411
FRIDAY,18:00,18:50,Fundamentals of Mobile Computing,Dr. Chettiyar Vani Vivekanand,B410
TUESDAY,14:00,14:50,Web Programming,Dr. Madhusudhanan S,B220
TUESDAY,10:00,10:50,Web Programming,Dr. Madhusudhanan S,B422
THURSDAY,08:00,08:50,Web Programming,Dr. Madhusudhanan S,A304
SATURDAY,15:50,17:30,Web Programming,Dr. Madhusudhanan S,JL3
SATURDAY,09:50,11:30,Web Programming,Dr. Madhusudhanan S,TLFR3
FRIDAY,08:00,09:40,Web Programming,Dr. Madhusudhanan S,TLGL2
TUESDAY,11:50,13:30,Web Programming,Dr. Madhusudhanan S,TLFL4
SATURDAY,15:00,15:50,Computer Networks,Mrs. Dr.R.Sabitha,C201
TUESDAY,16:00,16:50,Computer Networks,Mrs. Dr.R.Sabitha,B221
SATURDAY,12:00,12:50,Computer Networks,Mrs. Dr.R.Sabitha,A205
FRIDAY,15:50,17:30,Computer Networks,Mrs. Dr.R.Sabitha,TLFL3
FRIDAY,11:50,13:30,Computer Networks,Mrs. Dr.R.Sabitha,JL2
SATURDAY,15:50,17:30,Computer Networks,Mrs. Dr.R.Sabitha,TLFR1
SATURDAY,09:50,11:30,Computer Networks,Mrs. Dr.R.Sabitha,TLGL4
THURSDAY,18:00,18:50,Foundations of Artificial Intelligence,Mr. Dr. Kumar P,A204
WEDNESDAY,18:00,18:50,Foundations of Artificial Intelligence,Mr. Dr. Kumar P,B422
THURSDAY,15:00,15:50,Foundations of Artificial Intelligence,Mr. Dr. Kumar P,A204
THURSDAY,11:50,13:30,Foundations of Artificial Intelligence,Mr. Dr. Kumar P,KFR01
WEDNESDAY,11:50,13:30,Foundations of Artificial Intelligence,Mr. Dr. Kumar P,TLGL2
