Day,StartTime,EndTime,Course,Teacher,Room
MONDAY,18:00,18:50,Principles of Financial Management,Dr. Ramanathan V K,B402
MONDAY,11:00,11:50,Principles of Financial Management,Dr. Ramanathan V K,B106
MONDAY,10:00,10:50,Design Thinking and Innovation,Ms. Janani U,B401
FRIDAY,11:50,13:30,Design Thinking and Innovation,Ms. Janani U,JR3
FRIDAY,08:00,09:40,Design Thinking and Innovation,Ms. Janani U,TLFL1
WEDNESDAY,16:00,16:50,Computer Network Technology,Dr. Vishnu Kumar A,B404
TUESDAY,15:00,15:50,Computer Network Technology,Dr. Vishnu Kumar A,B210
WEDNESDAY,18:00,18:50,Computer Network Technology,Dr. Vishnu Kumar A,B218
THURSDAY,11:50,13:30,Computer Network Technology,Dr. Vishnu Kumar A,TLGL3
FRIDAY,09:50,11:30,Computer Network Technology,Dr. Vishnu Kumar A,KFR03
FRIDAY,17:00,17:50,Artificial Intelligence,New Faculty New Staff -19,B321
WEDNESDAY,09:00,09:50,Artificial Intelligence,New Faculty New Staff -19,A110
THURSDAY,18:00,18:50,Artificial Intelligence,New Faculty New Staff -19,B211
TUESDAY,15:50,17:30,Artificial Intelligence,New Faculty New Staff -19,TLFL5
THURSDAY,13:50,15:30,Artificial Intelligence,New Faculty New Staff -19,JL2
THURSDAY,11:00,11:50,Data Mining and Analytics,Mrs. Dr. P. Tamil Selvi,C101
WEDNESDAY,15:00,15:50,Data Mining and Analytics,Mrs. Dr. P. Tamil Selvi,B322
WEDNESDAY,08:00,08:50,Data Mining and Analytics,Mrs. Dr. P. Tamil Selvi,B210
FRIDAY,09:50,11:30,Data Mining and Analytics,Mrs. Dr. P. Tamil Selvi,JR3
TUESDAY,17:30,19:10,Data Mining and Analytics,Mrs. Dr. P. Tamil Selvi,JR2
